Arco_i Arco_j VecesRecorrido
============================
32460 32490 1
32460 32700 0
32490 32460 0
32490 32501 1
32490 32657 1
32501 32490 0
32501 32519 1
32501 32718 1
32518 32519 1
32519 32501 1
32519 32518 0
32519 32676 1
32619 32518 1
32657 32490 1
32657 32658 1
32657 51553 1
32658 32657 1
32676 32519 0
32676 32677 1
32676 51556 1
32677 32676 0
32700 32460 1
32700 32719 0
32709 32619 1
32718 32501 0
32718 32719 1
32719 32700 1
32719 32718 0
51553 32657 1
51556 32676 1
